81	-80.1379349246135	28.0124794173647	23	1	2010	2	23	0
81	-80.1376471533304	28.0485843420749	23	1	2010	2	23	0
81	-80.0969513450222	28.0483227720826	33	1	2010	2	23	0
81	-80.1780687922515	28.08493896493	23	1	2010	2	23	0
81	-80.1373588489781	28.0846890741652	28	1	2010	2	23	0
81	-80.0966494395342	28.0844271086966	33	1	2010	2	23	0
81	-80.1777935811473	28.1210438817309	23	1	2010	2	23	0
81	-80.1370700107963	28.1207936134705	28	1	2010	2	23	0
81	-80.0963469750371	28.1205312522675	33	1	2010	2	23	0
81	-80.2182555934175	28.1573871400618	23	1	2010	2	23	0
81	-80.1775178606689	28.1571486058284	23	1	2010	2	23	0
81	-80.1367806380227	28.1568979598256	28	1	2010	2	23	0
81	-80.0960439507326	28.1566352026296	33	1	2010	2	23	0
81	-80.2179930411157	28.1934920310177	18	1	2010	2	23	0
81	-80.1772416300882	28.1932531370584	18	1	2010	2	23	0
81	-80.1364907298932	28.1930021130659	28	1	2010	2	23	0
81	-80.0957403658204	28.1927389596177	33	1	2010	2	23	0
81	-80.2177300032731	28.229596729178	23	1	2010	2	23	0
81	-80.176964888675	28.2293574752569	23	1	2010	2	23	0
81	-80.1362002856415	28.229106073027	33	1	2010	2	23	0
81	-80.0954362194984	28.2288425230669	38	1	2010	2	23	0
81	-80.0546727155699	28.2285668259829	43	1	2010	2	23	0
81	-80.0139097991778	28.2282789824095	45	1	2010	2	23	0
81	-80.2174664791941	28.2657012343797	23	1	2010	2	23	0
81	-80.1766876356975	28.2654616202605	23	1	2010	2	23	0
81	-80.1359093044993	28.2652098395448	33	1	2010	2	23	0
81	-80.0951315109619	28.2649458928124	38	1	2010	2	23	0
81	-80.0543542804457	28.2646697806709	43	1	2010	2	23	0
81	-80.0135776383087	28.2643815037558	45	1	2010	2	23	0
81	-80.2579955535738	28.3020333355654	18	1	2010	2	23	0
81	-80.2172024681808	28.30180554646	23	1	2010	2	23	0
81	-80.1764098704215	28.3015655719058	23	1	2010	2	23	0
81	-80.1356177856964	28.3013134124556	33	1	2010	2	23	0
81	-80.0948262394044	28.30104906869	33	1	2010	2	23	0
81	-80.0540352569423	28.3007725412179	45	1	2010	2	23	0
81	-80.0132448637045	28.3004838306762	45	1	2010	2	23	0
81	-80.2577448352916	28.3381377967215	18	1	2010	2	23	0
81	-80.216937969534	28.3379096652566	23	1	2010	2	23	0
81	-80.1761315921112	28.33766933003	23	1	2010	2	23	0
81	-80.1353257284606	28.3374167915957	33	1	2010	2	23	0
81	-80.0945204040173	28.3371520505355	38	1	2010	2	23	0
81	-80.0537156442146	28.3368751074593	43	1	2010	2	23	0
81	-80.0129114744838	28.3365859630054	45	1	2010	2	23	0
81	-80.2983147892373	28.3744583160949	13	1	2010	2	23	0
81	-80.2574936541136	28.3742420646576	18	1	2010	2	23	0
81	-80.2166729825522	28.3740135906072	23	1	2010	2	23	0
81	-80.1758528000289	28.3737728944704	23	1	2010	2	23	0
81	-80.1350331320174	28.373519976802	33	1	2010	2	23	0
81	-80.0942140039897	28.373254838185	38	1	2010	2	23	0
81	-80.0533954414155	28.3729774792308	43	1	2010	2	23	0
81	-80.0125774697625	28.3726879005784	45	1	2010	2	23	0
81	-80.2980769764443	28.4105627151233	13	1	2010	2	23	0
81	-80.2572420093731	28.4103461392122	23	1	2010	2	23	0
81	-80.2164075065324	28.4101173223501	28	2	2010	2	23	0
81	-80.1755734934348	28.4098762650645	28	1	2010	2	23	0
81	-80.1347399955907	28.4096229679115	33	1	2010	2	23	0
81	-80.0939070385087	28.4093574314753	38	1	2010	2	23	0
81	-80.0530746476953	28.4090796563681	45	1	2010	2	23	0
81	-80.0122428486549	28.4087896432306	45	1	2010	2	23	0
81	-80.3386879888174	28.4468715616218	13	1	2010	2	23	0
81	-80.2978387249348	28.4466669208239	18	1	2010	2	23	0
81	-80.2569899004019	28.4464500202244	23	1	2010	2	23	0
81	-80.2161415407697	28.4462208603236	28	2	2010	2	23	0
81	-80.1752936715873	28.4459794416504	28	2	2010	2	23	0
81	-80.134446318402	28.4457257647617	33	1	2010	2	23	0
81	-80.0935995067592	28.4454598302429	38	1	2010	2	23	0
81	-80.0527532622022	28.4451816387075	45	1	2010	2	23	0
81	-80.3384631816055	28.4829758803749	13	1	2010	2	23	0
81	-80.2976000340755	28.4827709330365	18	1	2010	2	23	0
81	-80.2567373265301	28.4825537075333	23	2	2010	2	23	0
81	-80.2158750845571	28.4823242043666	28	2	2010	2	23	0
81	-80.1750133337426	28.4820824240661	28	2	2010	2	23	0
81	-80.1341520996708	28.4818283671902	33	1	2010	2	23	0
81	-80.093291407924	28.481562034325	43	1	2010	2	23	0
81	-80.0524312840823	28.4812834260854	45	1	2010	2	23	0
82	-80.3382379599984	28.5190800056834	13	1	2010	2	23	0
82	-80.2973609032315	28.5188747516011	18	1	2010	2	23	0
82	-80.2564842870858	28.5186572009785	23	2	2010	2	23	0
82	-80.215608137186	28.518427354318	28	2	2010	2	23	0
82	-80.1747324791553	28.5181852121504	33	2	2010	2	23	0
82	-80.1338573386148	28.5179307750349	33	1	2010	2	23	0
81	-80.0929827411838	28.517664043559	43	1	2010	2	23	0
81	-80.0521087124795	28.5173850183388	45	1	2010	2	23	0
82	-80.3380123233965	28.5551839373882	13	1	2010	2	23	0
82	-80.2971213317664	28.5549783763581	18	1	2010	2	23	0
82	-80.2562307813955	28.5547605004	28	2	2010	2	23	0
82	-80.215340697946	28.5545303100173	33	2	2010	2	23	0
82	-80.1744511070778	28.554287805742	38	2	2010	2	23	0
